FECHAINICIO,STACODE,STANOMBRE,STADIRECCION,STALONGITUD,STALATITUD,MONCODE,VARIABLE,CONCENTRACION,UNIDAD,FECHACORTE
01-01-2013 18:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,30.0333333,ppb,25-08-2014 11:20:28
01-01-2013 19:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,29.5116667,ppb,25-08-2014 11:20:28
02-01-2013 08:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,6.6666667,ppb,25-08-2014 11:20:28
04-01-2013 16:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,19.2666667,ppb,25-08-2014 11:20:28
07-01-2013 12:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.1516667,ppb,25-08-2014 11:20:28
02-01-2013 12:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.416,ppb,25-08-2014 11:20:28
02-01-2013 13:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.6883333,ppb,25-08-2014 11:20:28
06-01-2013 18:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.765,ppb,25-08-2014 11:20:28
01-01-2013 17:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,29.9283333,ppb,25-08-2014 11:20:28
02-01-2013 10:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,16.5716667,ppb,25-08-2014 11:20:28
05-01-2013 17:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.3083333,ppb,25-08-2014 11:20:28
06-01-2013 11:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,17.4083333,ppb,25-08-2014 11:20:28
04-01-2013 20:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,20.0516667,ppb,25-08-2014 11:20:28
04-01-2013 21:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,19.7983333,ppb,25-08-2014 11:20:28
04-01-2013 22:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.7816667,ppb,25-08-2014 11:20:28
04-01-2013 23:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,18.6,ppb,25-08-2014 11:20:28
05-01-2013,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,8.7383333,ppb,25-08-2014 11:20:28
05-01-2013 11:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,16.1,ppb,25-08-2014 11:20:28
05-01-2013 19:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.8933333,ppb,25-08-2014 11:20:28
06-01-2013 01:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,23.26,ppb,25-08-2014 11:20:28
06-01-2013 02:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.305,ppb,25-08-2014 11:20:28
06-01-2013 03:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.7416667,ppb,25-08-2014 11:20:28
06-01-2013 04:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.3833333,ppb,25-08-2014 11:20:28
06-01-2013 05:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,10.1516667,ppb,25-08-2014 11:20:28
06-01-2013 06:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,1.4566667,ppb,25-08-2014 11:20:28
06-01-2013 07:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,1.8283333,ppb,25-08-2014 11:20:28
06-01-2013 09:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,6.0566667,ppb,25-08-2014 11:20:28
07-01-2013 14:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.89,ppb,25-08-2014 11:20:28
07-01-2013 15:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,23.5033333,ppb,25-08-2014 11:20:28
01-01-2013 16:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,31.0316667,ppb,25-08-2014 11:20:28
02-01-2013 14:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.305,ppb,25-08-2014 11:20:28
04-01-2013 01:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,16.4783333,ppb,25-08-2014 11:20:28
04-01-2013 02:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,14.535,ppb,25-08-2014 11:20:28
04-01-2013 03:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,10.7666667,ppb,25-08-2014 11:20:28
04-01-2013 04:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,16.9966667,ppb,25-08-2014 11:20:28
04-01-2013 05:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,17.53,ppb,25-08-2014 11:20:28
04-01-2013 06:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,12.7316667,ppb,25-08-2014 11:20:28
04-01-2013 07:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,3.41,ppb,25-08-2014 11:20:28
05-01-2013 14:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,16.8033333,ppb,25-08-2014 11:20:28
05-01-2013 15:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,18.8733333,ppb,25-08-2014 11:20:28
05-01-2013 16:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,20.96,ppb,25-08-2014 11:20:28
06-01-2013 13:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,19.9083333,ppb,25-08-2014 11:20:28
06-01-2013 17:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,22.1916667,ppb,25-08-2014 11:20:28
02-01-2013 15:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.9633333,ppb,25-08-2014 11:20:28
04-01-2013 18:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,20.06,ppb,25-08-2014 11:20:28
05-01-2013 09:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,10.3233333,ppb,25-08-2014 11:20:28
05-01-2013 20:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,23.9566667,ppb,25-08-2014 11:20:28
06-01-2013 15:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.4066667,ppb,25-08-2014 11:20:28
04-01-2013 19:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,21.065,ppb,25-08-2014 11:20:28
05-01-2013 10:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,13.0266667,ppb,25-08-2014 11:20:28
06-01-2013 08:00:00,1,Usaquen,TV-9 No 133-95,-74.03199,4.70939,4,OZONO,2.735,ppb,25-08-2014 11:20:28
